Dia;tiempo_respuesta_MEDIANA;IC_superior;IC_inferior
2025-02-22;147,36671239268208;149,09154977331156;145,6418750120526
2025-02-23;147,4128321343785;149,13766951500799;145,68799475374902
2025-02-24;147,45895187607493;149,18378925670442;145,73411449544545
2025-02-25;147,50507161777136;149,22990899840084;145,78023423714188
2025-02-26;147,5511913594678;149,27602874009727;145,8263539788383
2025-02-27;147,59731110116422;149,3221484817937;145,87247372053474
2025-02-28;147,64343084286065;149,36826822349013;145,91859346223117
2025-03-01;147,68955058455708;149,41438796518656;145,9647132039276
2025-03-02;147,7356703262535;149,460507706883;146,01083294562403
2025-03-03;147,78179006794994;149,50662744857942;146,05695268732046
2025-03-04;147,82790980964637;149,55274719027585;146,1030724290169
2025-03-05;147,8740295513428;149,59886693197228;146,14919217071332
2025-03-06;147,92014929303923;149,6449866736687;146,19531191240975
2025-03-07;147,96626903473566;149,69110641536514;146,24143165410618
2025-03-08;148,0123887764321;149,73722615706157;146,2875513958026
2025-03-09;148,05850851812852;149,783345898758;146,33367113749904
2025-03-10;148,10462825982495;149,82946564045443;146,37979087919547
2025-03-11;148,15074800152138;149,87558538215086;146,4259106208919
2025-03-12;148,1968677432178;149,9217051238473;146,47203036258833
2025-03-13;148,24298748491424;149,96782486554372;146,51815010428476
2025-03-14;148,28910722661067;150,01394460724015;146,5642698459812
2025-03-15;148,3352269683071;150,06006434893658;146,61038958767762
2025-03-16;148,38134671000353;150,106184090633;146,65650932937405
2025-03-17;148,42746645169996;150,15230383232944;146,70262907107048
2025-03-18;148,4735861933964;150,19842357402587;146,7487488127669
2025-03-19;148,51970593509282;150,2445433157223;146,79486855446333
2025-03-20;148,56582567678925;150,29066305741873;146,84098829615976
2025-03-21;148,61194541848567;150,33678279911516;146,8871080378562
2025-03-22;148,6580651601821;150,38290254081159;146,93322777955262
2025-03-23;148,70418490187853;150,42902228250801;146,97934752124905
2025-03-24;148,75030464357496;150,47514202420444;147,02546726294548
2025-03-25;148,7964243852714;150,52126176590087;147,0715870046419
2025-03-26;148,84254412696782;150,5673815075973;147,11770674633834
2025-03-27;148,88866386866425;150,61350124929373;147,16382648803477
2025-03-28;148,93478361036068;150,65962099099016;147,2099462297312
2025-03-29;148,9809033520571;150,7057407326866;147,25606597142763
2025-03-30;149,02702309375354;150,75186047438302;147,30218571312406
2025-03-31;149,07314283544997;150,79798021607945;147,3483054548205
2025-04-01;149,1192625771464;150,84409995777588;147,39442519651692
2025-04-02;149,16538231884283;150,8902196994723;147,44054493821335
2025-04-03;149,21150206053926;150,93633944116874;147,48666467990978
2025-04-04;149,2576218022357;150,98245918286517;147,5327844216062
2025-04-05;149,30374154393212;151,0285789245616;147,57890416330264
2025-04-06;149,34986128562855;151,07469866625803;147,62502390499907
2025-04-07;149,39598102732498;151,12081840795446;147,6711436466955
2025-04-08;149,4421007690214;151,1669381496509;147,71726338839193
2025-04-09;149,48822051071784;151,21305789134732;147,76338313008836
2025-04-10;149,53434025241427;151,25917763304375;147,8095028717848
2025-04-11;149,5804599941107;151,30529737474018;147,85562261348122
2025-04-12;149,62657973580713;151,3514171164366;147,90174235517765
2025-04-13;149,67269947750356;151,39753685813304;147,94786209687408
2025-04-14;149,7188192192;151,44365659982947;147,9939818385705
2025-04-15;149,76493896089642;151,4897763415259;148,04010158026693
2025-04-16;149,81105870259285;151,53589608322233;148,08622132196336
2025-04-17;149,85717844428927;151,58201582491876;148,1323410636598
2025-04-18;149,9032981859857;151,62813556661519;148,17846080535622
2025-04-19;149,94941792768213;151,67425530831161;148,22458054705265
2025-04-20;149,99553766937856;151,72037505000804;148,27070028874908
2025-04-21;150,041657411075;151,76649479170447;148,3168200304455
2025-04-22;150,08777715277142;151,8126145334009;148,36293977214194
2025-04-23;150,13389689446785;151,85873427509733;148,40905951383837
2025-04-24;150,18001663616428;151,90485401679376;148,4551792555348
2025-04-25;150,2261363778607;151,9509737584902;148,50129899723123
2025-04-26;150,27225611955714;151,99709350018662;148,54741873892766
2025-04-27;150,31837586125357;152,04321324188305;148,5935384806241
2025-04-28;150,36449560295;152,08933298357948;148,63965822232052
2025-04-29;150,41061534464643;152,1354527252759;148,68577796401695
2025-04-30;150,45673508634286;152,18157246697234;148,73189770571338
2025-05-01;150,5028548280393;152,22769220866877;148,7780174474098
2025-05-02;150,54897456973572;152,2738119503652;148,82413718910624
2025-05-03;150,59509431143215;152,31993169206163;148,87025693080267
2025-05-04;150,64121405312858;152,36605143375806;148,9163766724991
2025-05-05;150,687333794825;152,4121711754545;148,96249641419553
2025-05-06;150,73345353652144;152,45829091715092;149,00861615589196
2025-05-07;150,77957327821787;152,50441065884735;149,0547358975884
2025-05-08;150,8256930199143;152,55053040054378;149,10085563928482
2025-05-09;150,87181276161073;152,5966501422402;149,14697538098125
