Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,848.000000,864.000000,790.169617,807.000000,807.000000,0
2023-02-01,795.659973,836.200012,775.950012,833.140015,833.140015,0
2023-03-01,826.960022,834.750000,777.775696,788.820007,788.820007,0
2023-04-01,788.820007,821.650024,778.963501,806.500000,806.500000,0
2023-05-01,806.500000,810.450012,773.072937,804.349976,804.349976,0
2023-06-01,809.630005,810.260010,773.981689,802.849976,802.849976,0
2023-07-01,802.849976,841.799988,783.675720,827.789978,827.789978,0
2023-08-01,840.229980,870.510010,826.288208,851.809998,851.809998,0
2023-09-01,851.750000,910.250000,843.148865,890.650024,890.650024,0
2023-10-01,888.263367,950.250000,888.263367,906.940002,906.940002,0
2023-11-01,895.530029,922.330017,838.390015,869.150024,869.150024,0
2023-12-01,870.200012,901.799988,853.200195,871.864685,871.864685,0
2024-01-01,871.864685,934.960022,869.742859,932.150024,932.150024,0
2024-02-01,930.280029,989.549988,925.820007,978.640015,978.640015,0
2024-03-01,966.280029,987.000000,925.274292,966.217651,966.217651,0
2024-04-01,979.270020,988.599976,926.890625,941.539978,941.539978,0
2024-05-01,957.510010,960.260010,881.648376,916.840027,916.840027,0
2024-06-01,917.419983,954.130005,899.549988,946.549988,946.549988,0
2024-07-01,942.049561,957.890015,897.808960,955.539978,955.539978,0
2024-08-01,942.799988,958.859985,906.799988,919.010010,919.010010,0
2024-08-26,905.299988,905.299988,905.299988,905.299988,905.299988,0
